feature,importance
Community_Area,0.3500024918898332
Primary_Type_Code,0.34775162352709094
Location_Code,0.3460400184821337
Ward,0.21221954814581578
District,0.07954870971631263
Crime_Severity_Score,0.01988790809519634
Hour,0.01454334974292145
Domestic_Flag,0.004044640334142871
Latitude,0.0011744189663548696
Season_Code,0.000566297843153583
Arrest_Flag,0.0005585301665063588
Month,0.0005285538770078947
Longitude,0.00038616331069375037
Day_Code,0.0003546835441552661
Weekend_Flag,0.0003458624261493809
